iter	Logloss
0	0.6650498462
1	0.6397289304
2	0.6189797274
3	0.5998256433
4	0.5840426541
5	0.5703737632
6	0.5586540612
7	0.5448297512
8	0.5352188069
9	0.5246683794
10	0.5155913544
11	0.506231924
12	0.4981923344
13	0.4909780584
14	0.483605525
15	0.4782797686
16	0.4736703092
17	0.4686658786
18	0.4642690966
19	0.4600071552
20	0.4557853017
21	0.4511796967
22	0.4458405614
23	0.4421390657
24	0.4388895355
25	0.4350947175
26	0.4320792982
27	0.4285936482
28	0.4255491955
29	0.4234342455
30	0.4204492155
31	0.4169320027
32	0.4146069504
33	0.4125827585
34	0.4107097064
35	0.4087662404
36	0.4070107955
37	0.4054948333
38	0.4039607097
39	0.4019436429
40	0.4005366995
41	0.3989040884
42	0.3973919022
43	0.3954844366
44	0.3941874208
45	0.3929023523
46	0.3908972351
47	0.3897258516
48	0.3886619778
49	0.3875693837
50	0.3862622763
51	0.3853170359
52	0.3839921145
53	0.3832724882
54	0.3820533595
55	0.3812760087
56	0.3804311938
57	0.3788074258
58	0.3781909222
59	0.3774042807
60	0.3758687907
61	0.3751472028
62	0.3729691991
63	0.3722780663
64	0.3713817153
65	0.3706667298
66	0.3701252227
67	0.3695436495
68	0.3680740223
69	0.3672282934
70	0.366073624
71	0.3645225568
72	0.3636681261
73	0.3625694576
74	0.3614001111
75	0.3608633256
76	0.3597455677
77	0.3586624632
78	0.3579218643
79	0.3565239528
80	0.3557943206
81	0.3550860586
82	0.3540407516
83	0.3532347239
84	0.3526528691
85	0.3518571507
86	0.3510714502
87	0.3502517638
88	0.3496486206
89	0.348908699
90	0.3480278613
91	0.3476186623
92	0.3467144126
93	0.3455277009
94	0.3451456368
95	0.3441200361
96	0.3433260747
97	0.342831995
98	0.3420203509
99	0.3414894227
100	0.3405479152
101	0.339932728
102	0.3394700157
103	0.3392609433
104	0.338886372
105	0.3384652997
106	0.3381140685
107	0.3376102653
108	0.3370702361
109	0.3364199213
110	0.3357630315
111	0.3354563973
112	0.3352244727
113	0.3346560124
114	0.3341816689
115	0.3331553717
116	0.3328497572
117	0.3324769904
118	0.3322614414
119	0.3319482536
120	0.33116935
121	0.3309025408
122	0.3303544694
123	0.3301160916
124	0.3293876568
125	0.3290747449
126	0.3285709716
127	0.3282848802
128	0.3277227961
129	0.3271473418
130	0.3262937999
131	0.3260358919
132	0.3257927341
133	0.3255385485
134	0.3249942194
135	0.3244856085
136	0.3238567148
137	0.3235836768
138	0.3233667227
139	0.3231561686
140	0.3230318415
141	0.3228049337
142	0.3221322191
143	0.3217695238
144	0.3213636313
145	0.3211280326
146	0.3209071219
147	0.3203873849
148	0.3198229443
149	0.3194330994
150	0.3190745263
151	0.3186863308
152	0.3184476229
153	0.3181225535
154	0.3177235655
155	0.3174144922
156	0.3169880796
157	0.3166753739
158	0.3163909865
159	0.3160704261
160	0.3157407436
161	0.3152696163
162	0.3149767763
163	0.3147846996
164	0.3146512312
165	0.314232348
166	0.3139784494
167	0.313698805
168	0.3133744509
169	0.3132328061
170	0.3130437123
171	0.3125296102
172	0.3122352042
173	0.311994588
174	0.3117772507
175	0.3114318809
176	0.3110730831
177	0.3108911783
178	0.3107498715
179	0.3103750224
180	0.3100221223
181	0.3095230435
182	0.3094194466
183	0.3092079859
184	0.30911396
185	0.3087424856
186	0.3085229054
187	0.3082614477
188	0.3080905329
189	0.3077793726
190	0.3076086572
191	0.3073630547
192	0.307188104
193	0.3070601704
194	0.3068268745
195	0.3066338966
196	0.306496228
197	0.305823792
198	0.305615811
199	0.3054250081
200	0.3051469733
201	0.3049502129
202	0.3048097478
203	0.3043184905
204	0.3038994632
205	0.3037410462
206	0.3034027066
207	0.3032019996
208	0.3029675328
209	0.3028528735
210	0.3026904528
211	0.3024325851
212	0.3020413465
213	0.3018519615
214	0.3015409363
215	0.3012405336
216	0.3010970844
217	0.3009347834
218	0.3006489094
219	0.3004481313
220	0.3003032967
221	0.2999705665
222	0.2997150854
223	0.2994842846
224	0.2993187004
225	0.2990946383
226	0.2988777077
227	0.2986865138
228	0.2985664221
229	0.2983766303
230	0.2982267198
231	0.2980217825
232	0.2978117329
233	0.2975775702
234	0.2973251127
235	0.2970791329
236	0.2967862484
237	0.2965658879
238	0.2963188567
239	0.2960652792
240	0.2956452249
241	0.2953712098
242	0.2950627604
243	0.2949455996
244	0.2947313504
245	0.2945228848
246	0.2942483347
247	0.294075611
248	0.293697094
249	0.2934681884
250	0.2931566701
251	0.2929299822
252	0.2926662925
253	0.2924114212
254	0.2921667176
255	0.2919805194
256	0.2916994998
257	0.2915425842
258	0.2913123771
259	0.2911620965
260	0.2910148269
261	0.2908401322
262	0.2906380581
263	0.290428922
264	0.2902456354
265	0.2900253999
266	0.2898163197
267	0.2895716084
268	0.2893607686
269	0.289051607
270	0.2889011087
271	0.2887713936
272	0.288628948
273	0.2884032825
274	0.2882051105
275	0.2880135488
276	0.287719656
277	0.287404701
278	0.2873028654
279	0.2871176607
280	0.2868905405
281	0.2866970106
282	0.2864882318
283	0.2862856411
284	0.2860770973
285	0.2857827666
286	0.2856133908
287	0.2852414864
288	0.285014979
289	0.2847480649
290	0.2846066357
291	0.2842963038
292	0.2841636038
293	0.2838794061
294	0.2836625173
295	0.2835227077
296	0.2833598382
297	0.283217593
298	0.2830417996
299	0.2828181187
300	0.2826423364
301	0.2823207281
302	0.2821355623
303	0.2818434821
304	0.2817283997
305	0.2816018432
306	0.2814112372
307	0.2811360977
308	0.2810039659
309	0.2806551663
310	0.2804746052
311	0.2802967282
312	0.2801206532
313	0.2800128526
314	0.2798373971
315	0.2796385996
316	0.2795072196
317	0.2793491499
318	0.2791346619
319	0.2789177754
320	0.27873852
321	0.2786019443
322	0.2784062048
323	0.2782091476
324	0.2780514195
325	0.2778086513
326	0.2775701393
327	0.2774039808
328	0.2771870963
329	0.2770668142
330	0.2767613396
331	0.2765815726
332	0.2763802711
333	0.276276227
334	0.2761574091
335	0.2760321132
336	0.2758243619
337	0.2756560362
338	0.2754160115
339	0.2752464758
340	0.2750624713
341	0.2748270144
342	0.2746575062
343	0.274415647
344	0.2743066499
345	0.2741995156
346	0.2740377208
347	0.2739064577
348	0.2737606942
349	0.2736478742
350	0.273519203
351	0.2733645915
352	0.2732139349
353	0.2731304227
354	0.2729080241
355	0.2726880303
356	0.2725560377
357	0.2724286098
358	0.2723069994
359	0.2722229344
360	0.2719685535
361	0.2718158537
362	0.2716426403
363	0.2715095077
364	0.2713142255
365	0.2711747074
366	0.2710253534
367	0.2709277419
368	0.270712172
369	0.2705726326
370	0.2704192822
371	0.2702915416
372	0.2701912794
373	0.2700939338
374	0.269995464
375	0.269852416
376	0.269730951
377	0.2695945011
378	0.2694840743
379	0.2693319263
380	0.2692530622
381	0.2691247384
382	0.2690003083
383	0.2688921608
384	0.2688038553
385	0.2686560495
386	0.2685494311
387	0.2684545141
388	0.2683014281
389	0.2681731427
390	0.2680723739
391	0.2678977585
392	0.2677092058
393	0.2675228243
394	0.2673334241
395	0.267125273
396	0.266933611
397	0.2668317203
398	0.266674811
399	0.2665789918
400	0.2663592734
401	0.2662535757
402	0.266170846
403	0.2659807909
404	0.2658556034
405	0.2657430799
406	0.2655713451
407	0.2654218799
408	0.2653237934
409	0.2652569814
410	0.2651058508
411	0.2649259131
412	0.2648241767
413	0.2646849622
414	0.2644876306
415	0.2643565017
416	0.2642382369
417	0.264092402
418	0.2639621024
419	0.2638238171
420	0.2637482463
421	0.2636477978
422	0.2635138003
423	0.2633624331
424	0.2631656948
425	0.2629688987
426	0.2629036611
427	0.2627718714
428	0.2625918603
429	0.2624859306
430	0.2623777365
431	0.2622414058
432	0.2621561698
433	0.2620452375
434	0.2619234891
435	0.2617471444
436	0.261570051
437	0.2613446025
438	0.2612477496
439	0.2611275697
440	0.2609854324
441	0.2608969206
442	0.260736055
443	0.2605626961
444	0.2604646071
445	0.2602934129
446	0.2602053541
447	0.2601328735
448	0.2600282746
449	0.2599494709
450	0.2598355311
451	0.2597450249
452	0.2596503403
453	0.2594957191
454	0.2593796466
455	0.2592919913
456	0.2591046751
457	0.2589515314
458	0.2588375643
459	0.2587586378
460	0.2586217233
461	0.2585557072
462	0.2583920589
463	0.2582708447
464	0.2581043354
465	0.257997243
466	0.2578386845
467	0.2577542541
468	0.2576848757
469	0.2575782262
470	0.257414864
471	0.2572784201
472	0.2571685361
473	0.2570002543
474	0.256894105
475	0.2567717167
476	0.2566904902
477	0.2566168727
478	0.2565168249
479	0.2562892713
480	0.2561163068
481	0.2560029475
482	0.2558875748
483	0.2557826402
484	0.2557005228
485	0.2555772766
486	0.2554952319
487	0.25536596
488	0.2552633246
489	0.2551270772
490	0.2550030437
491	0.2548328953
492	0.2547130927
493	0.2545616212
494	0.2544538721
495	0.2543543675
496	0.2542130555
497	0.2541094783
498	0.2540268434
499	0.2538690833
500	0.2537616772
501	0.2536873087
502	0.2534816983
503	0.2533789605
504	0.2532952427
505	0.2532192601
506	0.2531029518
507	0.2529156428
508	0.2527675436
509	0.2526710293
510	0.2525576455
511	0.2524840039
512	0.2522953923
513	0.2521726925
514	0.2520725269
515	0.2519648465
516	0.2518679194
517	0.2517733412
518	0.2516841602
519	0.2515693477
520	0.2514876464
521	0.251340908
522	0.251241214
523	0.2511412363
524	0.2510620089
525	0.2509583255
526	0.2508826726
527	0.2507973684
528	0.2506711888
529	0.2505743225
530	0.2504860326
531	0.2503821421
532	0.2502339239
533	0.2501069428
534	0.2499635484
535	0.2498746282
536	0.2497896297
537	0.249672236
538	0.2496220335
539	0.249500798
540	0.2494227431
541	0.249302364
542	0.2491887547
543	0.2491107326
544	0.2490223779
545	0.2489264277
546	0.2488300023
547	0.2487447928
548	0.2486539537
549	0.2484870613
550	0.2483892625
551	0.2482683033
552	0.2481489096
553	0.2480654105
554	0.2479827352
555	0.2479141024
556	0.2477586267
557	0.2476448134
558	0.247523364
559	0.2474300653
560	0.2473129921
561	0.2472412389
562	0.2471252142
563	0.2470290822
564	0.2469228236
565	0.246791992
566	0.2466365415
567	0.2465769977
568	0.246450433
569	0.2463674093
570	0.2462944889
571	0.2461915302
572	0.2460821303
573	0.2460007871
574	0.2459297494
575	0.2458173841
576	0.2457246425
577	0.2456277249
578	0.2455300563
579	0.2453655088
580	0.2452842395
581	0.2452229501
582	0.2451128924
583	0.2449484977
584	0.2448159726
585	0.2447137738
586	0.244604043
587	0.2444962542
588	0.2444445291
589	0.2443352418
590	0.2442041178
591	0.2441202529
592	0.2440246278
593	0.2438886819
594	0.2437389869
595	0.2436356504
596	0.2435060854
597	0.2434199019
598	0.2432409305
599	0.2431332754
600	0.2430444956
601	0.2429686237
602	0.2429260331
603	0.2427952137
604	0.2427150387
605	0.2425998434
606	0.2425589759
607	0.242502565
608	0.2424137
609	0.2422878454
610	0.2421697619
611	0.24211085
612	0.2419932117
613	0.2418901927
614	0.241826085
615	0.2417152869
616	0.2416052171
617	0.2414205932
618	0.2413233748
619	0.2411986395
620	0.241122081
621	0.2410636315
622	0.240964381
623	0.2408692386
624	0.2408018644
625	0.2406927978
626	0.240587864
627	0.2405188809
628	0.2404236854
629	0.2403316107
630	0.2402737626
631	0.2401427006
632	0.2400819007
633	0.2399624695
634	0.2398412375
635	0.2397444121
636	0.239684483
637	0.239567338
638	0.2394464676
639	0.2393274837
640	0.2392219446
641	0.2391461903
642	0.2390722
643	0.2389859721
644	0.2388633367
645	0.2387457862
646	0.2386992076
647	0.2386086865
648	0.2385234668
649	0.2383793172
650	0.2382864059
651	0.2381674163
652	0.238078802
653	0.2379824335
654	0.2378821244
655	0.237761807
656	0.2377000958
657	0.2376313314
658	0.2375369745
659	0.2374487236
660	0.2373454691
661	0.2372342312
662	0.2370929652
663	0.2369855294
664	0.2368983605
665	0.2367476181
666	0.236579773
667	0.2365376841
668	0.2364814753
669	0.2363584134
670	0.2362444261
671	0.2360926342
672	0.2359916995
673	0.2359697281
674	0.2359022118
675	0.2357703728
676	0.2356679276
677	0.2355685167
678	0.2354496343
679	0.2353628643
680	0.2352943926
681	0.2352226863
682	0.2351792262
683	0.2350902283
684	0.2349748113
685	0.2348658688
686	0.2347892767
687	0.2346801088
688	0.2345655612
689	0.2344703593
690	0.2343992818
691	0.2343051682
692	0.2342421959
693	0.2341978471
694	0.2341212193
695	0.2340054246
696	0.2339188159
697	0.2338460442
698	0.2338199769
699	0.2337296209
700	0.233634976
701	0.2335755114
702	0.233530962
703	0.2334463741
704	0.2333023824
705	0.2332048456
706	0.2331589814
707	0.233116668
708	0.2330375532
709	0.2329581446
710	0.2328888032
711	0.2327931657
712	0.2327246274
713	0.2326373782
714	0.2325376679
715	0.2324848303
716	0.2323968883
717	0.2323217303
718	0.2322141769
719	0.2321467082
720	0.2320712966
721	0.231997383
722	0.2318824097
723	0.2317981392
724	0.2316959717
725	0.2316251313
726	0.231522891
727	0.2314604136
728	0.2313529225
729	0.2312614631
730	0.2311935344
731	0.2311007842
732	0.2309989855
733	0.2308965213
734	0.230877897
735	0.2308410917
736	0.230686503
737	0.2305831575
738	0.2304557817
739	0.2303760665
740	0.2303169564
741	0.2302618016
742	0.2302068715
743	0.2301424681
744	0.2300815157
745	0.2299672707
746	0.2298841728
747	0.2297902941
748	0.2297189124
749	0.2296379738
750	0.2295560535
751	0.2294986013
752	0.2293835775
753	0.2293055815
754	0.2292447357
755	0.2291866461
756	0.2291046307
757	0.2290298048
758	0.2289223236
759	0.2288402345
760	0.2287039311
761	0.2285763234
762	0.2284908319
763	0.2284387409
764	0.2283763787
765	0.2282717544
766	0.2281764285
767	0.2280630636
768	0.2280007773
769	0.227909842
770	0.2278294757
771	0.2277636715
772	0.2276628669
773	0.2275597424
774	0.2275086917
775	0.2274831296
776	0.2274043264
777	0.2273255174
778	0.2272582831
779	0.2271531555
780	0.227063781
781	0.2269462867
782	0.2268643244
783	0.2267761124
784	0.2266594301
785	0.2266299055
786	0.226493977
787	0.2264409528
788	0.2263438157
789	0.2262583911
790	0.2261907783
791	0.2261264007
792	0.2260403635
793	0.2259613277
794	0.2258660674
795	0.2257425216
796	0.2256627365
797	0.2256358662
798	0.225598601
799	0.2255158566
800	0.225435045
801	0.2253723912
802	0.2252951103
803	0.2251881578
804	0.2250877721
805	0.2250315075
806	0.2249726831
807	0.2248985173
808	0.224821621
809	0.2247467696
810	0.2246502737
811	0.2245548859
812	0.2245105813
813	0.224405506
814	0.2243397423
815	0.2242744342
816	0.2242054524
817	0.2241492993
818	0.2240318997
819	0.2239324547
820	0.2238596051
821	0.2238149449
822	0.2237653825
823	0.2236724982
824	0.2235923219
825	0.2235260084
826	0.2234732825
827	0.2233860115
828	0.2232692411
829	0.2231798987
830	0.2230968733
831	0.2230071922
832	0.2229346599
833	0.2228744853
834	0.2227906916
835	0.2227026818
836	0.2226346298
837	0.2225447666
838	0.2224276126
839	0.2223736628
840	0.2222961353
841	0.2222160264
842	0.2221217639
843	0.222068443
844	0.2219761724
845	0.2218963622
846	0.2218657502
847	0.2218164052
848	0.2217499896
849	0.2216780423
850	0.2215405188
851	0.2214710602
852	0.2213686391
853	0.2212804576
854	0.2211582737
855	0.2210941391
856	0.2209976992
857	0.2209408078
858	0.2208844807
859	0.2208431755
860	0.2207803406
861	0.2207155915
862	0.2206412825
863	0.2205748413
864	0.2205257615
865	0.2204515174
866	0.220404117
867	0.2203594933
868	0.2203138339
869	0.2202374588
870	0.2202017472
871	0.2201262024
872	0.2200696549
873	0.2199762721
874	0.2199402776
875	0.2198520997
876	0.2197733519
877	0.2197092952
878	0.2196589093
879	0.2195731856
880	0.2194678596
881	0.2193748818
882	0.2192531915
883	0.219188572
884	0.2191041923
885	0.2190857239
886	0.2190099911
887	0.2189072361
888	0.2188362239
889	0.218779975
890	0.2187182668
891	0.2186466144
892	0.2185736286
893	0.2185410048
894	0.2184731498
895	0.2183762001
896	0.218306551
897	0.2182376698
898	0.2181484133
899	0.2180572909
900	0.2179458319
901	0.2178763372
902	0.2178228505
903	0.2177644182
904	0.217668959
905	0.2176138066
906	0.217543258
907	0.217481488
908	0.2174092935
909	0.217348465
910	0.2172982373
911	0.2172286555
912	0.2170765206
913	0.2170178636
914	0.2169584831
915	0.2168987609
916	0.2168342329
917	0.2167155814
918	0.2166515425
919	0.2165877922
920	0.2164815497
921	0.2164034979
922	0.2163636385
923	0.2163136768
924	0.2162574746
925	0.2161805007
926	0.2160700492
927	0.2160020953
928	0.2158892921
929	0.2157767405
930	0.2156748691
931	0.2156490231
932	0.2155851404
933	0.2155264876
934	0.2154680552
935	0.2153992524
936	0.2153666601
937	0.2152992158
938	0.2152102819
939	0.2151263086
940	0.2150672169
941	0.2149624815
942	0.2149027815
943	0.2148599934
944	0.2147965081
945	0.2147083781
946	0.2146461968
947	0.2145895541
948	0.2145372339
949	0.2144775933
950	0.2144105328
951	0.2142909622
952	0.2141893201
953	0.214084206
954	0.2140400438
955	0.2139679895
956	0.2139082038
957	0.2138222337
958	0.2137879056
959	0.2137417626
960	0.213665231
961	0.2136244047
962	0.2135507227
963	0.2135006621
964	0.2134414533
965	0.2133665878
966	0.21332636
967	0.2132665397
