iter	Logloss
0	0.6312274326
1	0.5775321553
2	0.5373041519
3	0.5005954301
4	0.4679806208
5	0.4436532338
6	0.4158068644
7	0.392479342
8	0.3740008102
9	0.3583115479
10	0.3414864435
11	0.3292583297
12	0.3194159607
13	0.3099444564
14	0.301972194
15	0.2919079453
16	0.2847072703
17	0.2767091728
18	0.2709270086
19	0.2675069799
20	0.2615191265
21	0.259005222
22	0.2551232591
23	0.2532539933
24	0.2501371335
25	0.2470598927
26	0.2447880624
27	0.2416504467
28	0.2393601123
29	0.2377489501
30	0.235433836
31	0.2339885047
32	0.2327978236
33	0.2311809561
34	0.2296235049
35	0.2287356618
36	0.2266242601
37	0.2251409035
38	0.223408038
39	0.2219563584
40	0.2208842656
41	0.2195387694
42	0.218671559
43	0.2173100207
44	0.2160334087
45	0.2150492702
46	0.2141896203
47	0.2129519872
48	0.2120257572
49	0.2114203796
50	0.2107827424
51	0.2099042688
52	0.2092978969
53	0.2085611287
54	0.2074630373
55	0.2069637646
56	0.2064524171
57	0.2058214168
58	0.2052033006
59	0.204764776
60	0.2041316134
61	0.2036118199
62	0.2031732201
63	0.2026674232
64	0.202012643
65	0.2015997632
66	0.20105474
67	0.2004628311
68	0.199896754
69	0.1987065753
70	0.1980054577
71	0.1977824341
72	0.1973380672
73	0.1969845978
74	0.1966568159
75	0.1964348629
76	0.1960943983
77	0.1953700287
78	0.1950497686
79	0.194694986
80	0.1942928492
81	0.1941064382
82	0.193731666
83	0.1933932519
84	0.1929024884
85	0.1926702462
86	0.192353014
87	0.1920763394
88	0.1917835694
89	0.1911920664
90	0.1909299243
91	0.1906996697
92	0.1905376744
93	0.1903237603
94	0.1898772523
95	0.1896375101
96	0.1893610474
97	0.1890852651
98	0.1886819562
99	0.1885386774
100	0.1882902681
101	0.188198751
102	0.1880525164
103	0.1877685808
104	0.1875427707
105	0.1872953616
106	0.1868634365
107	0.1864938978
108	0.1861783487
109	0.185924598
110	0.1857544314
111	0.1855826618
112	0.1851861451
113	0.1847573057
114	0.1843806959
115	0.1841806176
116	0.1839401414
117	0.1838365428
118	0.183650226
119	0.1834280235
120	0.1832400613
121	0.1830162689
122	0.1826099446
123	0.1823844094
124	0.1821974301
125	0.1820234294
126	0.1817481377
127	0.1814497182
128	0.1811938014
129	0.1810579832
130	0.1809019605
131	0.1806076763
132	0.1804565118
133	0.1799770986
134	0.1797819651
135	0.1795769282
136	0.1792077097
137	0.1790273802
138	0.1788852166
139	0.1787465802
140	0.1786057585
141	0.1784254806
142	0.1782623348
143	0.1781634712
144	0.1779652224
145	0.1777961727
146	0.1776536427
147	0.1773928872
148	0.1772779231
149	0.1771248968
150	0.1768850217
151	0.1767327848
152	0.1765842342
153	0.1764781849
154	0.1762320345
155	0.1760906174
156	0.1757891738
157	0.1755734042
158	0.1753892994
159	0.1752487126
160	0.1749955794
161	0.1749158271
162	0.1748108852
163	0.1746504277
164	0.1744848906
165	0.1742777255
166	0.1740942457
167	0.1739498349
168	0.1737993744
169	0.1736730076
170	0.1735445371
171	0.1734413087
172	0.1732191915
173	0.1730347208
174	0.1728902123
175	0.1727671595
176	0.1726706263
177	0.1725514599
178	0.1724527332
179	0.1723137402
180	0.1720592123
181	0.1718089624
182	0.1714761155
183	0.1711888552
184	0.1710896863
185	0.1709864041
186	0.1708276257
187	0.170734305
188	0.1705717222
189	0.1704526655
190	0.1702094711
191	0.1700322886
192	0.1699277184
193	0.1697752879
194	0.1696496819
195	0.1694800044
196	0.169362375
197	0.1692172143
198	0.1691499623
199	0.1689872449
200	0.1688205092
201	0.1686482688
202	0.1685064168
203	0.1684141384
204	0.1682102597
205	0.1680088832
206	0.1677954171
207	0.1676487717
208	0.1674861759
209	0.1673434947
210	0.1672278625
211	0.167062021
212	0.1668318845
213	0.1667296042
214	0.1666853564
215	0.1665810794
216	0.166456497
217	0.1663630786
218	0.1661985269
219	0.1660209277
220	0.1658373555
221	0.1655834897
222	0.1653323434
223	0.1651641144
224	0.1650266812
225	0.1648630859
226	0.1645637185
227	0.1644093967
228	0.16422496
229	0.1637959329
230	0.1636684561
231	0.1635106624
232	0.1633481017
233	0.1632141085
234	0.1629867798
235	0.16280686
236	0.1626469582
237	0.1624416711
238	0.1622461574
239	0.1621095595
240	0.1619651687
241	0.1617735885
242	0.1615704822
243	0.1614345314
244	0.1613025858
245	0.1611629506
246	0.1609253912
247	0.1607512513
248	0.1604007297
249	0.1602062102
250	0.1600032501
251	0.1598197606
252	0.1596203746
253	0.1593799551
254	0.1591982626
255	0.1589875445
256	0.1588538912
257	0.1586922251
258	0.1585862144
259	0.1583890923
260	0.158216853
261	0.15800475
262	0.1578301333
263	0.1576583061
264	0.1573599636
265	0.1571970314
266	0.1570310432
267	0.156833001
268	0.1566897566
269	0.156495014
270	0.1562646858
271	0.1561372542
272	0.1560106881
273	0.1557764242
274	0.155550556
275	0.1553968518
276	0.1552704849
277	0.1551522523
278	0.154960668
279	0.1547793638
280	0.154643673
281	0.1545281373
282	0.1543337274
283	0.1541538011
284	0.154043328
285	0.1538247898
286	0.1536695107
287	0.1534917305
288	0.1533386064
289	0.1531372803
290	0.1528993231
291	0.1527464287
292	0.1525411929
293	0.1523429863
294	0.1521246462
295	0.1520074184
296	0.1517038138
297	0.1515891554
298	0.1514053423
299	0.1512565618
