iter	Passed	Remaining
0	596	178444
1	1269	189154
2	1809	179131
3	2455	181671
4	2979	175798
5	3622	177506
6	4130	172881
7	4602	168008
8	5089	164553
9	5568	161473
10	6039	158667
11	6471	155319
12	6902	152379
13	7363	150418
14	7876	149651
15	8345	148141
16	8807	146611
17	9297	145667
18	9799	144932
19	10316	144432
20	10867	144379
21	11316	143000
22	11840	142598
23	12289	141332
24	12783	140620
25	13225	139377
26	13651	138035
27	14064	136622
28	14472	135242
29	14969	134729
30	15464	134192
31	15890	133086
32	16342	132223
33	16818	131576
34	17260	130689
35	17713	129897
36	18160	129084
37	18642	128533
38	19062	127570
39	19472	126569
40	19916	125813
41	20353	125026
42	20804	124341
43	21256	123674
44	21742	123209
45	22195	122559
46	22693	122156
47	23161	121598
48	23614	120962
49	24077	120389
50	24592	120067
51	25116	119788
52	25655	119563
53	26220	119450
54	26935	119986
55	27449	119601
56	27988	119319
57	28514	118972
58	28969	118334
59	29605	118422
60	30066	117801
61	30722	117932
62	31190	117336
63	31645	116692
64	32118	116119
65	32569	115474
66	32957	114612
67	33467	114183
68	33939	113622
69	34400	113030
70	34832	112348
71	35345	111928
72	35806	111343
73	36231	110653
74	36762	110286
75	37261	109822
76	37710	109212
77	38143	108562
78	38647	108115
79	39097	107517
80	39608	107090
81	39842	105923
82	40299	105361
83	40788	104883
84	41260	104363
85	41858	104158
86	42433	103888
87	42839	103203
88	43465	103046
89	44200	103133
90	44817	102933
91	45406	102658
92	46027	102447
93	46587	102095
94	47039	101507
95	47518	100976
96	48034	100525
97	48490	99950
98	48964	99412
99	49517	99035
100	50022	98559
101	50376	97788
102	50683	96937
103	51272	96629
104	51702	96018
105	52190	95517
106	52599	94875
107	52834	93927
108	53377	93533
109	53917	93129
110	54422	92664
111	54952	92241
112	55397	91675
113	55890	91189
114	56358	90663
115	56807	90108
116	57308	89636
117	57806	89159
118	58236	88577
119	58717	88075
120	59158	87515
121	59650	87030
122	60154	86563
123	60665	86106
124	61227	85719
125	61684	85183
126	62125	84627
127	62627	84155
128	63087	83627
129	63469	82998
130	63955	82507
131	64403	81968
132	64836	81411
133	65231	80808
134	65696	80295
135	66146	79764
136	66601	79240
137	67049	78710
138	67243	77886
139	67715	77388
140	68174	76877
141	68710	76453
142	69240	76019
143	69686	75494
144	70049	74880
145	70517	74381
146	70961	73858
147	71449	73380
148	71914	72879
149	72319	72319
150	72914	71948
151	73461	71528
152	74007	71104
153	74474	70605
154	74916	70083
155	75339	69544
156	75851	69087
157	76364	68631
158	76802	68108
159	77312	67648
160	77805	67173
161	78145	66568
162	78636	66093
163	79128	65618
164	79660	65176
165	80054	64622
166	80485	64099
167	81056	63686
168	81580	63236
169	81823	62570
170	82292	62080
171	82811	61626
172	83199	61077
173	83731	60633
174	84198	60142
175	84632	59627
176	85184	59196
177	85519	58614
178	85956	58104
179	86461	57640
180	86940	57159
181	87439	56691
182	87844	56163
183	88387	55722
184	88869	55242
185	89311	54739
186	89757	54238
187	90218	53747
188	90640	53233
189	91142	52766
190	91613	52281
191	92059	51783
192	92580	51326
193	92907	50763
194	93436	50311
195	93922	49836
196	94351	49331
197	94934	48905
198	95547	48493
199	96091	48045
200	96563	47561
201	97067	47092
202	97507	46592
203	98046	46139
204	98533	45661
205	99040	45193
206	99588	44742
207	100108	44278
208	100660	43828
209	101201	43372
210	101691	42893
211	102228	42434
212	102720	41956
213	103186	41467
214	103645	40976
215	104226	40532
216	104680	40039
217	105109	39536
218	105620	39065
219	106063	38568
220	106541	38085
221	107083	37623
222	107546	37135
223	108168	36700
224	108658	36219
225	109256	35774
226	109743	35291
227	110179	34793
228	110729	34330
229	111248	33858
230	111768	33385
231	112292	32913
232	112897	32464
233	113383	31980
234	113854	31491
235	114354	31011
236	114948	30556
237	115404	30063
238	115943	29592
239	116458	29114
240	116978	28637
241	117556	28174
242	118116	27706
243	118675	27237
244	119133	26744
245	119606	26254
246	120100	25770
247	120568	25280
248	121079	24799
249	121586	24317
250	122108	23837
251	122572	23347
252	123154	22878
253	123619	22387
254	124150	21908
255	124642	21422
256	125158	20940
257	125666	20457
258	126171	19973
259	126829	19512
260	127523	19055
261	128136	18584
262	128861	18128
263	129517	17661
264	130085	17181
265	130631	16697
266	131178	16213
267	131658	15720
268	132147	15228
269	132683	14742
270	133272	14261
271	133859	13779
272	134305	13282
273	134808	12792
274	135301	12300
275	135842	11812
276	136337	11320
277	136911	10834
278	137452	10345
279	138025	9858
280	138576	9369
281	139117	8879
282	139674	8390
283	140153	7895
284	140677	7404
285	141219	6912
286	141789	6422
287	142338	5930
288	142913	5439
289	143408	4945
290	143866	4449
291	144426	3956
292	144936	3462
293	145488	2969
294	146062	2475
295	146654	1981
296	147194	1486
297	147742	991
298	148347	496
299	148957	0
